sample id,correct,sentence length,num relations,token distance,char distance,variability
10639,True,19,1,13,74,0.8327402135231317
4940,True,36,1,16,87,0.6263345195729537
44512,False,32,1,7,35,0.8362989323843416
3373,False,35,1,9,56,0.597864768683274
34103,False,25,1,6,32,0.9252669039145907
32380,False,34,1,14,68,0.893238434163701
7335,False,26,1,8,48,0.8327402135231317
34811,False,29,1,7,44,0.7935943060498221
36488,False,18,1,4,16,0.800711743772242
34750,False,28,1,7,38,0.7935943060498221
15430,False,14,1,8,44,0.8825622775800711
10162,False,36,1,13,64,0.8540925266903914
3602,True,30,1,1,6,0.8647686832740213
32781,False,32,1,2,12,0.893238434163701
19252,True,32,1,22,124,0.800711743772242
31564,True,20,1,8,42,0.5124555160142349
467,True,28,1,4,24,0.7793594306049821
17963,True,19,1,6,40,0.7508896797153024
7107,True,21,1,9,39,0.7081850533807829
22899,True,22,1,5,32,0.8362989323843416
1204,True,21,1,5,25,0.5622775800711743
34122,True,35,1,5,28,0.9252669039145907
7291,False,22,1,4,20,0.8327402135231317
18379,False,32,1,5,28,0.7402135231316725
4628,False,30,1,3,23,0.6654804270462633
39616,False,33,1,3,20,0.5338078291814947
12983,False,22,1,19,99,0.8612099644128113
7341,False,17,1,5,21,0.8327402135231317
383,False,27,1,4,29,0.7793594306049821
24857,False,30,1,3,19,0.6975088967971529
6313,False,30,1,8,43,0.7864768683274022
40125,True,7,1,1,7,0.5373665480427046
7394,False,31,1,10,61,0.7081850533807829
5929,False,24,1,5,28,0.49466192170818496
44180,False,16,1,4,25,0.8362989323843416
5869,True,19,1,1,10,0.49822064056939497
20273,False,27,1,6,34,0.8291814946619216
3335,False,21,1,4,18,0.8362989323843416
34325,True,26,1,5,28,0.7935943060498221
33507,False,25,1,16,105,0.5160142348754448
32517,False,17,1,8,42,0.893238434163701
13442,False,21,1,5,19,0.800711743772242
27981,False,18,1,7,42,0.7615658362989324
2196,False,23,1,18,82,0.8576512455516014
2683,True,32,1,5,29,0.8576512455516014
6137,False,26,1,8,44,0.49466192170818496
16077,False,22,1,6,37,0.8825622775800711
670,False,25,1,13,67,0.7793594306049821
9030,False,20,1,6,33,0.8754448398576512
12963,True,28,1,6,28,0.8612099644128113
28078,False,21,1,3,16,0.7259786476868327
31693,True,21,1,5,20,0.5124555160142349
22205,False,26,1,14,60,0.9501779359430604
29976,False,19,1,5,24,0.7224199288256228
35377,False,27,1,3,16,0.8505338078291814
43979,False,24,1,4,17,0.8042704626334519
7526,True,16,1,4,22,0.7081850533807829
22586,True,16,1,4,23,0.8362989323843416
29227,True,17,1,8,42,0.8078291814946619
3656,False,23,1,16,103,0.3345195729537366
31953,True,20,1,16,105,0.5124555160142349
4394,False,34,1,2,13,0.5587188612099644
2652,False,28,1,10,55,0.5658362989323844
1904,False,28,1,19,91,0.5551601423487544
37702,False,31,1,14,64,0.8078291814946619
38669,False,32,1,18,105,0.8078291814946619
12178,True,36,1,5,19,0.790035587188612
27910,False,26,1,4,23,0.7615658362989324
42414,False,25,1,10,62,0.6298932384341637
8698,False,33,1,21,114,0.8754448398576512
26799,False,20,1,7,41,0.6725978647686832
9108,False,34,1,19,97,0.7224199288256228
7495,True,22,1,18,99,0.7081850533807829
1628,False,31,1,7,41,0.6227758007117438
38943,True,12,1,4,21,0.8078291814946619
19508,True,25,1,2,9,0.800711743772242
6410,False,20,1,5,30,0.896797153024911
30540,False,32,1,3,17,0.8647686832740213
1465,True,21,1,18,86,0.6227758007117438
2626,False,30,1,10,56,0.5658362989323844
4936,False,31,1,3,17,0.7188612099644127
14968,True,24,1,15,72,0.4768683274021352
36143,True,8,1,3,13,0.8434163701067615
43033,False,25,1,13,61,0.6832740213523132
27609,True,14,1,9,49,0.7615658362989324
11387,True,13,1,5,28,0.5480427046263344
5769,True,24,1,2,8,0.49822064056939497
28307,False,35,1,21,97,0.7259786476868327
5220,True,34,1,5,33,0.6263345195729537
16218,False,35,1,30,166,0.4519572953736654
21287,False,25,1,5,47,0.587188612099644
5351,True,16,1,4,18,0.6263345195729537
38971,False,30,1,7,32,0.8078291814946619
33048,True,17,1,4,23,0.5160142348754448
27017,False,28,1,22,114,0.6725978647686832
36701,True,13,1,3,14,0.800711743772242
1884,True,22,1,8,46,0.5551601423487544
15366,True,25,1,20,89,0.4768683274021352
28613,False,26,1,3,14,0.7259786476868327
8627,False,24,1,10,40,0.8754448398576512
29457,False,23,1,9,52,0.7224199288256228
8096,False,19,1,11,69,0.6797153024911031
32007,False,27,1,12,63,0.5124555160142349
1568,False,35,1,12,90,0.5551601423487544
190,False,25,1,10,55,0.8434163701067615
4557,False,23,1,3,20,0.6654804270462633
42110,False,34,1,17,101,0.6298932384341637
20285,False,23,1,10,55,0.8291814946619216
36495,False,30,1,4,16,0.800711743772242
32366,False,27,1,10,52,0.893238434163701
3709,False,19,1,12,68,0.3345195729537366
35058,False,29,1,4,16,0.8505338078291814
17473,True,26,1,15,73,0.7544483985765125
8279,True,33,1,2,19,0.4661921708185053
719,True,16,1,9,61,0.5622775800711743
31518,False,32,1,15,102,0.5124555160142349
6467,False,30,1,5,26,0.7864768683274022
25607,False,32,1,6,36,0.7188612099644127
1047,True,24,1,4,29,0.7864768683274022
4613,True,20,1,16,84,0.5587188612099644
11136,False,29,1,18,95,0.7259786476868327
10487,False,27,1,14,65,0.8540925266903914
3083,False,19,1,3,19,0.597864768683274
11851,False,21,1,8,37,0.5480427046263344
9780,False,31,1,9,47,0.7224199288256228
8418,False,17,1,4,14,0.8398576512455516
39746,False,21,1,5,30,0.5338078291814947
15762,False,30,1,6,37,0.8825622775800711
39316,True,21,1,3,11,0.5338078291814947
8694,False,35,1,2,9,0.8754448398576512
3043,False,23,1,12,66,0.597864768683274
43707,False,29,1,4,19,0.8042704626334519
18650,False,35,1,5,17,0.7402135231316725
9491,False,25,1,16,87,0.8647686832740213
43847,False,26,1,5,26,0.8042704626334519
14316,False,25,1,19,109,0.8362989323843416
234,False,29,1,8,27,0.8434163701067615
28774,False,29,1,6,28,0.8078291814946619
30891,False,17,1,12,63,0.7295373665480427
5094,False,25,1,3,19,0.7188612099644127
41203,True,34,1,7,43,0.8825622775800711
1534,False,33,1,8,56,0.5551601423487544
5685,True,20,1,7,32,0.49466192170818496
29527,False,34,1,13,53,0.7224199288256228
21136,False,18,1,5,43,0.587188612099644
5273,False,36,1,16,95,0.6263345195729537
24427,False,16,1,7,40,0.5800711743772241
6262,True,6,1,4,27,0.49822064056939497
19802,False,25,1,3,13,0.8291814946619216
9872,False,21,1,19,87,0.8612099644128113
5684,False,34,1,12,58,0.49466192170818496
20397,True,31,1,4,24,0.7188612099644127
10351,False,19,1,10,67,0.8612099644128113
24306,False,18,1,8,34,0.5800711743772241
487,False,23,1,15,82,0.8434163701067615
16683,False,36,1,5,24,0.4519572953736654
10500,True,21,1,5,24,0.7259786476868327
41610,False,34,1,1,9,0.7935943060498221
44679,False,14,1,4,20,0.8362989323843416
11948,False,21,1,13,90,0.790035587188612
7188,True,28,1,24,110,0.7081850533807829
10643,True,16,1,8,53,0.8327402135231317
36404,True,12,1,3,15,0.800711743772242
29624,False,33,1,4,23,0.7224199288256228
38313,True,20,1,9,32,0.6797153024911031
28697,False,32,1,4,20,0.7259786476868327
17306,False,14,1,4,28,0.7544483985765125
19487,True,28,1,6,24,0.800711743772242
928,False,26,1,10,46,0.5622775800711743
1414,False,22,1,13,65,0.6227758007117438
39318,False,28,1,15,68,0.5338078291814947
21852,True,28,1,2,8,0.9501779359430604
35545,False,17,1,4,29,0.8505338078291814
6738,False,27,1,5,25,0.896797153024911
44179,False,22,1,8,36,0.8362989323843416
7549,False,25,1,17,80,0.8327402135231317
39360,False,12,1,1,4,0.5338078291814947
31246,False,30,1,20,96,0.7295373665480427
32188,False,21,1,9,48,0.5124555160142349
34472,True,35,1,8,42,0.7935943060498221
25445,False,35,1,2,12,0.7188612099644127
37426,False,21,1,10,48,0.8078291814946619
38145,False,36,1,9,44,0.6797153024911031
42103,False,36,1,9,53,0.6298932384341637
3390,False,16,1,5,30,0.8362989323843416
16624,True,31,1,11,50,0.4519572953736654
33212,True,22,1,16,85,0.5160142348754448
6914,False,33,1,4,14,0.896797153024911
27738,False,32,1,21,128,0.7615658362989324
6311,False,29,1,3,11,0.7864768683274022
7057,False,21,1,5,27,0.8327402135231317
16854,True,30,1,13,62,0.7544483985765125
15080,True,24,1,14,62,0.4768683274021352
7023,False,35,1,15,99,0.8327402135231317
18595,False,29,1,21,118,0.7402135231316725
1271,True,26,1,8,39,0.5622775800711743
39733,False,25,1,16,75,0.5338078291814947
8020,False,36,1,14,82,0.6797153024911031
4411,False,22,1,1,9,0.5587188612099644
18681,False,30,1,3,10,0.7402135231316725
5997,True,15,1,6,27,0.49466192170818496
2778,False,34,1,17,95,0.5658362989323844
4192,False,24,1,7,34,0.8647686832740213
176,False,27,1,18,99,0.8434163701067615
1951,False,24,1,8,46,0.6227758007117438
8623,False,29,1,3,16,0.8398576512455516
8741,False,28,1,5,37,0.8398576512455516
8737,False,35,1,12,67,0.8754448398576512
8795,False,31,1,10,52,0.8754448398576512
19272,False,14,1,4,32,0.800711743772242
4778,False,31,1,16,87,0.5587188612099644
11056,True,25,1,3,13,0.8327402135231317
9896,False,28,1,4,25,0.8612099644128113
12371,True,28,1,2,14,0.790035587188612
23553,False,15,1,7,36,0.8291814946619216
10071,False,25,1,3,18,0.8540925266903914
23101,False,32,1,2,9,0.8291814946619216
22217,False,22,1,4,17,0.9501779359430604
40161,True,29,1,1,6,0.5373665480427046
7943,True,20,1,1,8,0.4661921708185053
9801,False,20,1,7,42,0.8540925266903914
2514,False,20,1,10,41,0.8576512455516014
6579,True,26,1,2,11,0.896797153024911
5749,False,15,1,6,36,0.49466192170818496
17200,False,31,1,17,78,0.7544483985765125
38200,False,32,1,8,35,0.6797153024911031
473,False,16,1,3,16,0.8434163701067615
1900,False,30,1,7,43,0.5551601423487544
6370,True,27,1,22,118,0.896797153024911
5923,False,25,1,10,59,0.49466192170818496
39995,False,21,1,1,7,0.5373665480427046
31735,True,15,1,5,30,0.5124555160142349
38595,False,25,1,9,48,0.8078291814946619
4743,True,24,1,22,111,0.5587188612099644
24882,False,27,1,10,61,0.6975088967971529
9545,True,28,1,26,151,0.7224199288256228
16427,True,34,1,28,132,0.4519572953736654
17093,False,30,1,3,19,0.7544483985765125
11180,False,28,1,5,19,0.7259786476868327
23002,False,31,1,6,33,0.8362989323843416
16310,False,26,1,7,41,0.4519572953736654
2635,False,19,1,5,39,0.5658362989323844
39816,True,19,1,12,75,0.5338078291814947
25767,False,30,1,1,10,0.7188612099644127
1381,False,25,1,19,99,0.7864768683274022
22209,True,20,1,16,84,0.9501779359430604
39325,False,19,1,8,42,0.5338078291814947
13319,False,16,1,6,24,0.800711743772242
8874,False,23,1,3,14,0.8398576512455516
750,True,30,1,4,18,0.7864768683274022
12122,True,16,1,2,13,0.790035587188612
217,False,21,1,15,65,0.8434163701067615
17386,True,22,1,7,39,0.7544483985765125
1050,False,26,1,11,58,0.7864768683274022
40636,False,29,1,9,37,0.8825622775800711
17517,True,29,1,22,144,0.7508896797153024
14989,False,18,1,10,49,0.4768683274021352
9051,False,25,1,14,75,0.8754448398576512
22808,False,26,1,18,99,0.8362989323843416
24901,False,33,1,6,32,0.6975088967971529
32625,False,28,1,7,35,0.893238434163701
1004,False,29,1,11,54,0.7864768683274022
42,True,29,1,4,20,0.7793594306049821
10578,False,20,1,12,51,0.7259786476868327
15544,False,25,1,22,122,0.8825622775800711
6464,False,17,1,6,35,0.7864768683274022
39321,False,26,1,3,22,0.5338078291814947
3385,True,16,1,12,60,0.597864768683274
2471,True,31,1,20,104,0.5658362989323844
23351,False,32,1,3,20,0.8291814946619216
1997,False,23,1,3,18,0.6227758007117438
34358,False,14,1,5,38,0.7935943060498221
6850,False,28,1,16,104,0.896797153024911
14374,False,32,1,13,82,0.8362989323843416
12316,False,30,1,11,60,0.790035587188612
6752,True,23,1,19,94,0.896797153024911
3527,True,14,1,12,71,0.3345195729537366
30696,False,18,1,3,24,0.8647686832740213
11400,False,19,1,4,20,0.5480427046263344
25442,False,23,1,19,88,0.7188612099644127
21269,False,28,1,23,106,0.587188612099644
26294,False,18,1,6,34,0.8505338078291814
22706,False,35,1,7,46,0.8362989323843416
21821,False,23,1,3,12,0.9501779359430604
41482,False,30,1,5,23,0.7935943060498221
8759,False,34,1,23,139,0.8398576512455516
12970,True,30,1,7,26,0.8612099644128113
32137,True,15,1,9,49,0.5124555160142349
4906,False,15,1,4,23,0.7188612099644127
41800,True,32,1,14,84,0.7935943060498221
35035,False,35,1,12,47,0.8505338078291814
43398,False,25,1,3,18,0.6832740213523132
40049,False,28,1,1,6,0.5373665480427046
7403,False,22,1,8,47,0.8327402135231317
5853,True,15,1,11,51,0.49822064056939497
21004,True,27,1,6,34,0.587188612099644
9536,False,15,1,11,56,0.7224199288256228
21830,True,21,1,17,70,0.9501779359430604
17474,True,32,1,24,121,0.7544483985765125
29633,False,28,1,11,49,0.7224199288256228
42442,True,20,1,8,35,0.6298932384341637
19939,False,35,1,13,82,0.8291814946619216
36419,True,15,1,5,39,0.800711743772242
34114,True,15,1,3,19,0.9252669039145907
152,False,28,1,9,56,0.8434163701067615
475,False,34,1,3,18,0.7793594306049821
35229,False,26,1,7,28,0.8505338078291814
37573,False,25,1,21,114,0.8078291814946619
11846,False,33,1,18,110,0.5480427046263344
6758,False,33,1,3,14,0.896797153024911
13204,False,35,1,5,23,0.8612099644128113
44276,False,23,1,2,9,0.8362989323843416
40570,True,22,1,1,6,0.5373665480427046
42252,False,31,1,12,62,0.6298932384341637
8188,False,17,1,3,18,0.6797153024911031
3380,False,19,1,9,45,0.597864768683274
5133,True,32,1,4,25,0.6263345195729537
8513,False,26,1,10,59,0.8754448398576512
20596,False,30,1,15,72,0.7188612099644127
15696,False,13,1,7,37,0.8825622775800711
19118,False,36,1,8,31,0.800711743772242
29201,True,22,1,13,74,0.8078291814946619
3181,False,21,1,11,53,0.597864768683274
30899,False,19,1,4,19,0.7295373665480427
24791,False,31,1,20,112,0.6975088967971529
34439,False,31,1,18,121,0.7935943060498221
30532,True,31,1,9,40,0.8647686832740213
4949,True,16,1,3,9,0.6263345195729537
13852,False,27,1,9,49,0.800711743772242
8044,False,12,1,1,10,0.6797153024911031
33910,False,26,1,7,32,0.9252669039145907
13821,False,32,1,7,43,0.800711743772242
7935,False,28,1,2,15,0.6797153024911031
7527,True,16,1,7,32,0.7081850533807829
1383,True,22,1,8,54,0.5622775800711743
25505,False,30,1,17,74,0.7188612099644127
36995,False,34,1,4,23,0.800711743772242
28131,True,29,1,10,66,0.7259786476868327
9536,True,15,1,11,56,0.7224199288256228
9068,False,25,1,19,108,0.8398576512455516
43371,False,32,1,24,146,0.6832740213523132
5004,True,17,1,4,19,0.7188612099644127
2920,False,24,1,9,44,0.8362989323843416
26595,False,26,1,10,55,0.8505338078291814
4161,True,16,1,14,71,0.3345195729537366
13437,False,27,1,24,132,0.800711743772242
10380,False,35,1,30,153,0.8540925266903914
10046,False,25,1,13,60,0.8540925266903914
41532,True,16,1,13,72,0.7935943060498221
35264,False,30,1,16,88,0.8505338078291814
4716,False,21,1,10,43,0.6654804270462633
6841,False,22,1,6,23,0.7864768683274022
20606,True,34,1,7,31,0.7188612099644127
5230,False,34,1,8,34,0.7188612099644127
5467,False,33,1,5,23,0.6263345195729537
41854,False,29,1,24,172,0.7935943060498221
33334,False,28,1,22,103,0.5160142348754448
15420,False,17,1,6,36,0.8825622775800711
42184,True,9,1,2,13,0.6298932384341637
17850,False,33,1,9,60,0.7508896797153024
16850,False,31,1,2,14,0.7544483985765125
18104,False,33,1,4,29,0.7508896797153024
5811,True,16,1,7,39,0.49466192170818496
24829,False,32,1,3,16,0.6975088967971529
27924,False,22,1,3,20,0.7615658362989324
10854,True,35,1,9,59,0.8327402135231317
16270,True,36,1,7,36,0.4519572953736654
35997,True,19,1,8,42,0.8434163701067615
4136,True,12,1,10,55,0.3345195729537366
10565,False,24,1,8,50,0.7259786476868327
34717,False,36,1,11,70,0.7935943060498221
22021,True,16,1,11,48,0.9501779359430604
27593,False,35,1,13,74,0.7615658362989324
9916,True,19,1,5,23,0.8612099644128113
43613,False,11,1,4,24,0.8042704626334519
14672,False,36,1,5,19,0.8362989323843416
1945,False,19,1,11,74,0.5551601423487544
2840,False,25,1,5,27,0.597864768683274
2878,False,17,1,4,22,0.597864768683274
10622,True,24,1,20,91,0.7259786476868327
18409,False,31,1,10,41,0.7402135231316725
11980,False,36,1,6,26,0.790035587188612
26578,False,31,1,15,86,0.8505338078291814
826,False,26,1,2,9,0.5622775800711743
4633,True,23,1,21,114,0.5587188612099644
42613,True,34,1,5,33,0.6298932384341637
7409,False,32,1,8,44,0.8327402135231317
42202,False,34,1,17,83,0.6298932384341637
2783,True,21,1,7,44,0.5658362989323844
33904,True,23,1,13,70,0.9252669039145907
7574,False,36,1,14,66,0.8327402135231317
43605,False,25,1,4,27,0.8042704626334519
4708,False,31,1,7,37,0.6654804270462633
2678,False,33,1,5,22,0.5658362989323844
7997,False,19,1,1,9,0.6797153024911031
40291,False,26,1,13,79,0.5373665480427046
4436,False,14,1,10,44,0.6654804270462633
4506,False,33,1,20,119,0.6654804270462633
15167,True,19,1,7,33,0.4768683274021352
18568,False,21,1,2,9,0.7402135231316725
4340,False,27,1,4,19,0.6654804270462633
19095,True,23,1,4,26,0.800711743772242
41763,False,35,1,16,89,0.7935943060498221
38972,True,26,1,6,31,0.8078291814946619
39563,False,32,1,15,88,0.5338078291814947
5730,False,18,1,9,51,0.49466192170818496
8114,True,18,1,2,18,0.4661921708185053
10260,False,36,1,24,129,0.8612099644128113
10279,False,14,1,3,13,0.8612099644128113
799,False,14,1,4,20,0.7864768683274022
39087,False,30,1,23,127,0.8078291814946619
12216,False,21,1,4,17,0.790035587188612
36062,False,31,1,24,111,0.8434163701067615
43165,False,21,1,4,20,0.6832740213523132
7068,False,17,1,3,24,0.8327402135231317
12864,False,22,1,4,15,0.8612099644128113
4817,False,29,1,8,50,0.6654804270462633
29388,False,27,1,14,82,0.8078291814946619
33862,True,23,1,8,42,0.9252669039145907
22993,False,34,1,15,72,0.8362989323843416
41122,True,28,1,6,33,0.8825622775800711
37960,False,18,1,15,108,0.6797153024911031
7474,True,33,1,29,133,0.7081850533807829
10328,True,33,1,4,20,0.8612099644128113
26914,False,31,1,14,79,0.6725978647686832
41917,False,14,1,6,33,0.7935943060498221
42755,False,20,1,5,27,0.6832740213523132
8514,False,17,1,8,41,0.8398576512455516
6553,False,27,1,22,132,0.7864768683274022
200,False,28,1,22,129,0.8434163701067615
21464,False,13,1,6,45,0.587188612099644
33890,True,18,1,4,19,0.9252669039145907
1300,True,19,1,4,21,0.7864768683274022
29849,False,35,1,7,31,0.7224199288256228
41349,False,25,1,23,119,0.7935943060498221
2747,True,34,1,12,57,0.5658362989323844
25636,False,22,1,4,28,0.7188612099644127
29462,False,30,1,9,54,0.7224199288256228
39020,False,35,1,25,133,0.8078291814946619
6896,False,31,1,11,52,0.7864768683274022
23597,False,32,1,6,29,0.8291814946619216
3254,True,18,1,8,56,0.597864768683274
33316,True,23,1,17,98,0.5160142348754448
10677,False,21,1,11,49,0.7259786476868327
3771,True,33,1,5,30,0.8647686832740213
41361,False,30,1,12,70,0.7935943060498221
14076,False,24,1,18,87,0.8362989323843416
21866,False,27,1,9,44,0.9501779359430604
32463,False,25,1,2,13,0.893238434163701
25639,False,13,1,5,28,0.7188612099644127
6726,False,35,1,10,44,0.7864768683274022
1021,True,24,1,4,20,0.5622775800711743
4426,False,27,1,18,102,0.5587188612099644
17182,False,36,1,17,83,0.7544483985765125
41445,False,20,1,9,59,0.7935943060498221
12958,False,35,1,10,55,0.8612099644128113
31066,False,25,1,6,28,0.7295373665480427
4732,False,23,1,2,15,0.5587188612099644
41660,False,35,1,2,23,0.7935943060498221
5015,False,30,1,7,39,0.7188612099644127
29270,False,15,1,6,28,0.8078291814946619
40181,True,13,1,2,8,0.5373665480427046
43727,False,36,1,5,27,0.8042704626334519
30778,True,29,1,18,79,0.8647686832740213
14673,True,23,1,9,52,0.8362989323843416
8207,True,28,1,2,14,0.4661921708185053
14094,False,24,1,11,54,0.8362989323843416
13938,False,19,1,4,23,0.800711743772242
799,False,14,1,4,20,0.7864768683274022
34310,False,29,1,4,20,0.7935943060498221
2673,False,27,1,14,74,0.5658362989323844
16718,True,28,1,6,35,0.4519572953736654
6589,False,24,1,6,36,0.896797153024911
7801,False,30,1,5,21,0.6797153024911031
43920,False,23,1,3,18,0.8042704626334519
20776,True,25,1,5,18,0.7188612099644127
1830,True,29,1,22,109,0.6227758007117438
40487,True,13,1,1,7,0.5373665480427046
21988,False,29,1,17,91,0.9501779359430604
26317,False,32,1,2,11,0.8505338078291814
21662,True,25,1,16,82,0.587188612099644
13519,False,32,1,9,46,0.800711743772242
14476,True,25,1,6,26,0.8362989323843416
39492,False,20,1,5,35,0.5338078291814947
15101,True,29,1,5,27,0.4768683274021352
585,False,15,1,8,59,0.8434163701067615
23397,False,36,1,4,23,0.8291814946619216
20457,False,28,1,9,45,0.7188612099644127
3033,False,13,1,3,16,0.8362989323843416
43339,False,27,1,5,26,0.6832740213523132
